prefecture_code,name,category,population,assembly_url,minutes_url,notes
01,北海道,prefecture,515,https://www.gikai.pref.hokkaido.lg.jp/,https://www.gikai.pref.hokkaido.lg.jp/kaigiroku/index.html,会議録検索システム（昭和45年以降）
02,青森,prefecture,119,https://www.pref.aomori.lg.jp/soshiki/gikai/home.html,https://www.pref.aomori.lg.jp/soshiki/gikai/katsudo-honkaigi.html,県庁サイト内に議会ページあり
03,岩手,prefecture,116,https://www.pref.iwate.jp/gikai/,https://www.pref.iwate.jp/gikai/kaigiroku/index.html,検索システム別途あり
04,宮城,prefecture,226,https://www.pref.miyagi.jp/site/kengikai/,https://ssp.kaigiroku.net/tenant/prefmiyagi/SpTop.html,外部kaigirokuシステム利用
05,秋田,prefecture,93,https://pref.akita.gsl-service.net/,https://pref.akita.gsl-service.net/category/category/kaigiroku/,gsl-serviceシステム（平成11年以降）
06,山形,prefecture,104,https://www.pref.yamagata.jp/kensei/assembly/index.html,https://ssp.kaigiroku.net/tenant/prefyamagata/SpTop.html,速報版はPDF
07,福島,prefecture,181,https://www.pref.fukushima.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/fukushima/index.html,kaigirokuシステム
08,茨城,prefecture,285,https://www.pref.ibaraki.jp/gikai/,https://www.pref.ibaraki.dbsr.jp/,DB-Searchシステム（平成元年以降）
09,栃木,prefecture,191,https://www.pref.tochigi.lg.jp/kengikai/index.html,https://pref-tochigi.gijiroku.com/,gijirokuシステム
10,群馬,prefecture,191,https://www.pref.gunma.jp/site/gikai/,https://www07.gijiroku.com/voices/,VOICESシステム
11,埼玉,prefecture,735,https://www.pref.saitama.lg.jp/s-gikai/,https://ssp.kaigiroku.net/tenant/prefsaitama/pg/index.html,kaigirokuシステム（昭和54年以降）
12,千葉,prefecture,629,https://www.pref.chiba.lg.jp/gikai/,https://pref-chiba.gijiroku.com/,gijirokuシステム
13,東京,prefecture,1404,https://www.gikai.metro.tokyo.lg.jp/,https://www.record.gikai.metro.tokyo.lg.jp/,独自会議録検索システム
14,神奈川,prefecture,921,https://www.pref.kanagawa.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefkanagawa/pg/index.html,kaigirokuシステム
15,新潟,prefecture,215,https://www.pref.niigata.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefniigata/pg/index.html,kaigirokuシステム
16,富山,prefecture,100,https://www.pref.toyama.jp/0100/gikai/index.html,https://www.pref.toyama.dbsr.jp/,DB-Searchシステム（平成6年以降）
17,石川,prefecture,112,https://www.pref.ishikawa.lg.jp/gikai/index.html,https://pref-ishikawa.gijiroku.com/voices/,gijirokuシステム（平成3年以降）
18,福井,prefecture,75,https://www.pref.fukui.lg.jp/gikai/,https://www.pref.fukui.lg.jp/gikai/kaigiroku/index.html,
19,山梨,prefecture,80,https://www.pref.yamanashi.jp/gikaisom/,https://www.pref.yamanashi.jp/gikaisom/kaigiroku.html,
20,長野,prefecture,203,https://www.pref.nagano.lg.jp/gikai/chosa/,https://nagano.gijiroku.com/,gijirokuシステム
21,岐阜,prefecture,196,https://www.pref.gifu.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefgifu/pg/index.html,kaigirokuシステム（平成元年以降）
22,静岡,prefecture,362,https://www.pref.shizuoka.jp/kensei/kengikai/index.html,https://www.pref.shizuoka.jp/kensei/kengikai/kaigiroku/index.html,要URL確認
23,愛知,prefecture,755,https://www.pref.aichi.jp/site/gikai/,https://www.pref.aichi.dbsr.jp/,DB-Searchシステム
24,三重,prefecture,172,https://www.pref.mie.lg.jp/kengikai/,https://www.pref.mie.lg.jp/KENGIKAI/51097008511.htm,PDF版主体
25,滋賀,prefecture,141,https://www.shigaken-gikai.jp/,https://www.shigaken-gikai.jp/voices/g07v_search.asp,独自ドメイン運営
26,京都,prefecture,257,https://www.pref.kyoto.jp/gikai/,https://www.pref.kyoto.dbsr.jp/,DB-Searchシステム
27,大阪,prefecture,879,https://www.pref.osaka.lg.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefosaka/pg/index.html,kaigirokuシステム（平成元年以降）
28,兵庫,prefecture,543,https://web.pref.hyogo.lg.jp/gikai/,https://www.kensakusystem.jp/hyogopref/,kensakusystemシステム
29,奈良,prefecture,132,https://www.pref.nara.jp/1690.htm,https://ssp.kaigiroku.net/tenant/prefnara/pg/index.html,kaigirokuシステム（平成3年以降）
30,和歌山,prefecture,90,https://www.pref.wakayama.lg.jp/prefg/200100/www/,https://www.pref.wakayama.lg.jp/gijiroku/d00203238.html,
31,鳥取,prefecture,55,https://www.pref.tottori.lg.jp/gikai/,https://www.pref.tottori.dbsr.jp/index.php/,DB-Searchシステム
32,島根,prefecture,66,https://www.pref.shimane.lg.jp/gikai/,https://www.pref.shimane.dbsr.jp/,DB-Searchシステム
33,岡山,prefecture,188,https://www.pref.okayama.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefokayama/pg/index.html,kaigirokuシステム
34,広島,prefecture,278,https://www.pref.hiroshima.lg.jp/site/gikai/,https://www.pref.hiroshima.dbsr.jp/index.php/,DB-Searchシステム
35,山口,prefecture,132,https://www.pref.yamaguchi.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefyamaguchi/pg/index.html,kaigirokuシステム
36,徳島,prefecture,71,https://www.pref.tokushima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/tokushimapref/pg/index.html,kaigirokuシステム（平成3年以降）
37,香川,prefecture,95,https://www.pref.kagawa.lg.jp/gikai/,https://www.pref.kagawa.dbsr.jp/,DB-Searchシステム
38,愛媛,prefecture,132,https://www.pref.ehime.jp/site/gikai/,https://www.kensakusystem.jp/ehime/,kensakusystemシステム（平成3年以降）
39,高知,prefecture,69,https://gikai.pref.kochi.lg.jp/,https://gikai.pref.kochi.lg.jp/minutes/,独自ドメイン運営
40,福岡,prefecture,512,https://www.gikai.pref.fukuoka.lg.jp/,https://www.pref.fukuoka.dbsr.jp/,DB-Searchシステム
41,佐賀,prefecture,81,https://www.pref.saga.lg.jp/gikai/default.html,https://www.pref.saga.dbsr.jp/,DB-Searchシステム
42,長崎,prefecture,126,https://www.pref.nagasaki.jp/gikai/,https://ssp.kaigiroku.net/tenant/prefnagasaki/pg/index.html,kaigirokuシステム
43,熊本,prefecture,174,https://www.pref.kumamoto.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefkumamoto/pg/index.html,kaigirokuシステム
44,大分,prefecture,112,https://www.pref.oita.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefoita/pg/index.html,kaigirokuシステム
45,宮崎,prefecture,105,https://www.pref.miyazaki.lg.jp/gikai/,https://www.pref.miyazaki.lg.jp/gikai/minutes/index.html,
46,鹿児島,prefecture,158,https://www.pref.kagoshima.jp/gikai/,https://www.pref.kagoshima.dbsr.jp/,DB-Searchシステム（昭和60年以降）
47,沖縄,prefecture,147,https://www.pref.okinawa.jp/kensei/gikai/index.html,https://www.pref.okinawa.jp/kensei/gikai/1020908/index.html,独自検索システム（1972年以降）
01,札幌市,designated_city,197,https://www.gikai.city.sapporo.jp/,https://www.gikai.city.sapporo.jp/record/,独自会議録検索システム
04,仙台市,designated_city,109,https://www.city.sendai.jp/gikai/,https://www.city.sendai.miyagi.dbsr.jp/index.php/,DB-Searchシステム
11,さいたま市,designated_city,134,https://www.city.saitama.lg.jp/001/010/,https://ssp.kaigiroku.net/tenant/saitama/SpTop.html,kaigirokuシステム
12,千葉市,designated_city,98,https://www.city.chiba.lg.jp/shigikai/,https://www.city.chiba.chiba.dbsr.jp/index.php/,DB-Searchシステム
14,横浜市,designated_city,377,https://www.city.yokohama.lg.jp/city-info/zaisei/gikai/,http://giji.city.yokohama.lg.jp/tenant/yokohama/SpTop.html,kaigirokuシステム（giji.city.yokohama.lg.jp）
14,川崎市,designated_city,154,https://www.city.kawasaki.jp/gikai/,https://www13.gijiroku.com/kawasaki_council/,gijirokuシステム
14,相模原市,designated_city,73,https://www.city.sagamihara.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/sagamihara/SpTop.html,kaigirokuシステム
15,新潟市,designated_city,77,https://www.city.niigata.lg.jp/gikai/,http://www06.gijiroku.com/niigata/,gijirokuシステム
