name,assembly_url,minutes_url,access_type,robots_txt_ok,structure_notes,difficulty
北海道,https://www.gikai.pref.hokkaido.lg.jp/,https://www.gikai.pref.hokkaido.lg.jp/kaigiroku/index.html,static,unknown,静的HTMLリンク 19 件、キーワード '会議録' 検出,A
青森,https://www.pref.aomori.lg.jp/soshiki/gikai/home.html,https://www.pref.aomori.lg.jp/soshiki/gikai/katsudo-honkaigi.html,static,unknown,構造判定: 静的HTML（議事録リンク未検出）,A
岩手,https://www.pref.iwate.jp/gikai/,https://www.pref.iwate.jp/gikai/kaigiroku/index.html,static,yes,構造判定: 静的HTML（議事録リンク未検出）,A
宮城,https://www.pref.miyagi.jp/site/kengikai/,https://ssp.kaigiroku.net/tenant/prefmiyagi/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
秋田,https://pref.akita.gsl-service.net/,https://pref.akita.gsl-service.net/category/category/kaigiroku/,dynamic,yes,外部議事録システム: gsl-service.net,C
山形,https://www.pref.yamagata.jp/kensei/assembly/index.html,https://ssp.kaigiroku.net/tenant/prefyamagata/SpTop.html,dynamic,no,外部議事録システム: kaigiroku.net,D
福島,https://www.pref.fukushima.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/fukushima/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
茨城,https://www.pref.ibaraki.jp/gikai/,https://www.pref.ibaraki.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
栃木,https://www.pref.tochigi.lg.jp/kengikai/index.html,https://pref-tochigi.gijiroku.com/,dynamic,yes,外部議事録システム: gijiroku.com,C
群馬,https://www.pref.gunma.jp/site/gikai/,https://www07.gijiroku.com/voices/,dynamic,yes,外部議事録システム: gijiroku.com,C
埼玉,https://www.pref.saitama.lg.jp/s-gikai/,https://ssp.kaigiroku.net/tenant/prefsaitama/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
千葉,https://www.pref.chiba.lg.jp/gikai/,https://pref-chiba.gijiroku.com/,dynamic,yes,外部議事録システム: gijiroku.com,C
東京,https://www.gikai.metro.tokyo.lg.jp/,https://www.record.gikai.metro.tokyo.lg.jp/,static,no,構造判定: 静的HTML（議事録リンク未検出）,D
神奈川,https://www.pref.kanagawa.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefkanagawa/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
新潟,https://www.pref.niigata.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefniigata/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
富山,https://www.pref.toyama.jp/0100/gikai/index.html,https://www.pref.toyama.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
石川,https://www.pref.ishikawa.lg.jp/gikai/index.html,https://pref-ishikawa.gijiroku.com/voices/,dynamic,yes,外部議事録システム: gijiroku.com,C
福井,https://www.pref.fukui.lg.jp/gikai/,https://www.pref.fukui.lg.jp/gikai/kaigiroku/index.html,static,unknown,構造判定: 静的HTML（議事録リンク未検出）,A
山梨,https://www.pref.yamanashi.jp/gikaisom/,https://www.pref.yamanashi.jp/gikaisom/kaigiroku.html,static,yes,構造判定: 静的HTML（議事録リンク未検出）,A
長野,https://www.pref.nagano.lg.jp/gikai/chosa/,https://nagano.gijiroku.com/,dynamic,yes,外部議事録システム: gijiroku.com,C
岐阜,https://www.pref.gifu.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefgifu/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
静岡,https://www.pref.shizuoka.jp/kensei/kengikai/index.html,https://www.pref.shizuoka.jp/kensei/kengikai/kaigiroku/index.html,unknown,yes,HTTP 404,D
愛知,https://www.pref.aichi.jp/site/gikai/,https://www.pref.aichi.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
三重,https://www.pref.mie.lg.jp/kengikai/,https://www.pref.mie.lg.jp/KENGIKAI/51097008511.htm,static,yes,構造判定: 静的HTML（議事録リンク未検出）,A
滋賀,https://www.shigaken-gikai.jp/,https://www.shigaken-gikai.jp/voices/g07v_search.asp,static,yes,構造判定: 静的HTML（議事録リンク未検出）,A
京都,https://www.pref.kyoto.jp/gikai/,https://www.pref.kyoto.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
大阪,https://www.pref.osaka.lg.jp/gikai/index.html,https://ssp.kaigiroku.net/tenant/prefosaka/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
兵庫,https://web.pref.hyogo.lg.jp/gikai/,https://www.kensakusystem.jp/hyogopref/,dynamic,unknown,外部議事録システム: kensakusystem.jp,C
奈良,https://www.pref.nara.jp/1690.htm,https://ssp.kaigiroku.net/tenant/prefnara/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
和歌山,https://www.pref.wakayama.lg.jp/prefg/200100/www/,https://www.pref.wakayama.lg.jp/gijiroku/d00203238.html,static,unknown,構造判定: 静的HTML（議事録リンク未検出）,A
鳥取,https://www.pref.tottori.lg.jp/gikai/,https://www.pref.tottori.dbsr.jp/index.php/,dynamic,no,外部議事録システム: dbsr.jp,D
島根,https://www.pref.shimane.lg.jp/gikai/,https://www.pref.shimane.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
岡山,https://www.pref.okayama.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefokayama/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
広島,https://www.pref.hiroshima.lg.jp/site/gikai/,https://www.pref.hiroshima.dbsr.jp/index.php/,dynamic,no,外部議事録システム: dbsr.jp,D
山口,https://www.pref.yamaguchi.lg.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefyamaguchi/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
徳島,https://www.pref.tokushima.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/tokushimapref/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
香川,https://www.pref.kagawa.lg.jp/gikai/,https://www.pref.kagawa.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
愛媛,https://www.pref.ehime.jp/site/gikai/,https://www.kensakusystem.jp/ehime/,dynamic,unknown,外部議事録システム: kensakusystem.jp,C
高知,https://gikai.pref.kochi.lg.jp/,https://gikai.pref.kochi.lg.jp/minutes/,static,yes,構造判定: 静的HTML（議事録リンク未検出）,A
福岡,https://www.gikai.pref.fukuoka.lg.jp/,https://www.pref.fukuoka.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
佐賀,https://www.pref.saga.lg.jp/gikai/default.html,https://www.pref.saga.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
長崎,https://www.pref.nagasaki.jp/gikai/,https://ssp.kaigiroku.net/tenant/prefnagasaki/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
熊本,https://www.pref.kumamoto.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefkumamoto/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
大分,https://www.pref.oita.jp/site/gikai/,https://ssp.kaigiroku.net/tenant/prefoita/pg/index.html,dynamic,no,外部議事録システム: kaigiroku.net,D
宮崎,https://www.pref.miyazaki.lg.jp/gikai/,https://www.pref.miyazaki.lg.jp/gikai/minutes/index.html,static,unknown,構造判定: 静的HTML（議事録リンク未検出）,A
鹿児島,https://www.pref.kagoshima.jp/gikai/,https://www.pref.kagoshima.dbsr.jp/,dynamic,no,外部議事録システム: dbsr.jp,D
沖縄,https://www.pref.okinawa.jp/kensei/gikai/index.html,https://www.pref.okinawa.jp/kensei/gikai/1020908/index.html,static,unknown,構造判定: 静的HTML（議事録リンク未検出）,A
札幌市,https://www.gikai.city.sapporo.jp/,https://www.gikai.city.sapporo.jp/record/,unknown,unknown,接続失敗（タイムアウトまたはネットワークエラー）,D
仙台市,https://www.city.sendai.jp/gikai/,https://ssp.kaigiroku.net/tenant/sendaicity/SpTop.html,unknown,no,HTTP 404,D
さいたま市,https://www.city.saitama.lg.jp/001/010/,https://ssp.kaigiroku.net/tenant/saitama/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=saitama),C
千葉市,https://www.city.chiba.lg.jp/shigikai/,https://ssp.kaigiroku.net/tenant/chibacity/SpTop.html,unknown,no,HTTP 404,D
横浜市,https://www.city.yokohama.lg.jp/city-info/zaisei/gikai/,https://www.city.yokohama.lg.jp/city-info/zaisei/gikai/kaigiroku/,unknown,unknown,HTTP 404,D
川崎市,https://www.city.kawasaki.jp/gikai/,https://www13.gijiroku.com/kawasaki_council/,dynamic,unknown,gijirokuシステム（kawasaki_council）,C
相模原市,https://www.city.sagamihara.kanagawa.jp/gikai/,https://ssp.kaigiroku.net/tenant/sagamihara/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=sagamihara),C
新潟市,https://www.city.niigata.lg.jp/gikai/,http://www06.gijiroku.com/niigata/,dynamic,unknown,gijirokuシステム（niigata）,C
静岡市,https://www.city.shizuoka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/shizuokacity/SpTop.html,unknown,no,HTTP 404,D
浜松市,https://www.city.hamamatsu.shizuoka.jp/gikai/,https://ssp.kaigiroku.net/tenant/hamamatsu/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=hamamatsu),C
名古屋市,https://www.city.nagoya.jp/gikai/,https://ssp.kaigiroku.net/tenant/nagoya/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=nagoya),C
京都市,https://www.city.kyoto.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/kyoto/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=kyoto),C
大阪市,https://www.city.osaka.lg.jp/gikai/,https://ssp.kaigiroku.net/tenant/cityosaka/SpTop.html,dynamic,yes,外部議事録システム: ssp.kaigiroku.net (tenant=cityosaka),C
堺市,https://www.city.sakai.lg.jp/shisei/gikai/,http://www12.gijiroku.com/sakai/,dynamic,unknown,gijirokuシステム（sakai）,C
